sim_id,seed,label_has_gaps,label_has_flares,label_has_transit,star_mass,star_teff,flare_amplitude
sim_0000,7569445,0,1,0,0.96796875,5551.706327807767,2299.8770143047855
sim_0001,5042582,1,1,1,1.0125,5849.936555698435,4350.053856664582
sim_0002,5457236,0,0,0,1.18359375,6579.894005674884,0.0
sim_0003,4527111,1,1,1,1.0359375,5761.030645541821,5325.356702200583
sim_0004,4758870,1,0,0,1.16015625,6280.357903173565,0.0
sim_0005,7196925,1,0,1,1.10390625,6225.792297413717,0.0
sim_0006,7768557,1,1,1,1.166015625,5653.3089181908235,1175.568728986345
sim_0007,9968130,0,0,1,1.17421875,6240.985761847617,0.0
sim_0008,8467339,1,0,1,1.08046875,5736.115588799423,0.0
sim_0009,3056146,1,0,0,1.053515625,6208.757824366496,0.0
sim_0010,8958593,1,1,0,0.9304687500000001,5751.6406971908555,1112.9777132580948
sim_0011,9959178,1,0,0,1.166015625,6139.494954368015,0.0
sim_0012,7071702,1,0,1,0.9890625,5733.424406771605,0.0
sim_0013,3916164,0,0,1,1.08046875,5892.347680495547,0.0
sim_0014,8207873,0,0,0,1.156640625,6058.827034908165,0.0
sim_0015,2588840,1,1,1,0.9515625,4983.204384570314,19426.672426910183
sim_0016,8587074,0,1,1,1.16015625,6262.580515915177,6693.49160626733
sim_0017,7614691,0,0,1,1.1859375,6451.883778795338,0.0
sim_0018,9807260,1,0,1,1.13671875,6332.290668190604,0.0
sim_0019,3773828,1,1,1,0.978515625,5823.666800809547,16771.014669860655
sim_0020,6545969,1,0,1,0.92109375,5796.1883986667535,0.0
sim_0021,2431497,1,1,1,1.147265625,6279.497553962944,903.9025647417739
sim_0022,5941391,1,1,1,0.92109375,5758.161830719133,3784.204516053266
sim_0023,8820869,0,0,1,0.97734375,5666.913742033218,0.0
sim_0024,5156814,1,0,0,1.021875,5941.530845594788,0.0
sim_0025,5015234,0,1,0,0.92578125,5615.22733774605,13487.293327075782
sim_0026,5916187,0,0,0,1.16484375,6070.43440675883,0.0
sim_0027,8324309,0,1,0,1.16015625,4502.201679593257,1040.3447796972607
sim_0028,3678683,0,1,0,0.984375,4321.448069955409,18141.394571136767
sim_0029,3018148,0,0,0,1.1015625,5911.624820512442,0.0
sim_0030,6689831,0,0,0,0.975,4458.249442408507,0.0
sim_0031,9511794,1,0,1,1.053515625,4542.530350827353,0.0
sim_0032,1617974,1,1,1,0.98203125,5888.08449254436,1444.10010024611
sim_0033,3472722,1,0,0,1.0171875,5983.233508912696,0.0
sim_0034,5852883,1,0,1,1.0453125,6085.615685579009,0.0
sim_0035,9822884,1,0,0,0.98671875,5789.575365384069,0.0
sim_0036,1862225,0,1,1,1.1859375,6491.593440039321,5866.277827070322
sim_0037,2634594,1,1,1,0.922265625,5764.5543786894095,13389.031415925589
sim_0038,1279207,1,0,1,0.9375,5504.724748659264,0.0
sim_0039,3523028,1,0,1,1.15546875,5895.600982307059,0.0
sim_0040,7154555,0,0,0,0.9421875,5687.126762793966,0.0
sim_0041,1597869,0,1,1,1.166015625,6175.264169939236,939.5373511475275
sim_0042,3864350,0,0,0,0.9187500000000001,5588.51139099667,0.0
sim_0043,1134354,0,0,1,0.95625,5642.3447670061205,0.0
sim_0044,3073141,0,1,0,0.978515625,5677.305110960174,1345.0086062650232
sim_0045,6545440,1,1,1,1.044140625,5787.431453982233,15343.930040182518
sim_0046,7565203,0,0,1,1.034765625,5786.92868626555,0.0
sim_0047,3426234,0,0,1,1.15546875,5726.3387414109275,0.0
sim_0048,8933321,1,0,0,1.10859375,6167.074932893014,0.0
sim_0049,7730850,1,1,1,1.1906249999999998,6172.37077405619,713.1940793373617
sim_0050,7351242,0,1,1,1.147265625,4817.015028877953,3605.309861186803
sim_0051,2806711,1,1,0,1.1847656249999998,4621.908585505887,9158.088995921924
sim_0052,1344672,0,1,1,1.1765625,6253.628807063201,3963.877479171682
sim_0053,6620766,0,0,1,1.04765625,6215.511082425593,0.0
sim_0054,6052301,0,1,0,1.08984375,5925.080152547155,1478.4044243676199
sim_0055,2064442,0,0,0,1.1765625,6166.190243109923,0.0
sim_0056,5807324,1,1,1,0.928125,5469.635809367069,3224.698781016999
sim_0057,4980503,1,1,0,1.17421875,6189.953740688063,869.0836144813873
sim_0058,8612165,1,0,1,1.109765625,6197.293462846022,0.0
sim_0059,7112675,1,0,1,1.10625,6120.432440621751,0.0
sim_0060,5714163,0,1,1,1.1906249999999998,6146.3391035996265,1924.3894739297218
sim_0061,5075894,0,1,1,1.18359375,6607.731910839334,1962.2626950731658
sim_0062,5711109,0,0,1,1.166015625,6117.3405979784275,0.0
sim_0063,1505376,0,1,1,0.928125,5308.879467759291,11804.200346241847
sim_0064,9799925,1,1,1,1.044140625,5821.057208316521,12603.010708548336
sim_0065,7729421,0,0,0,1.003125,5902.040530796643,0.0
sim_0066,2685655,1,1,1,1.0171875,6015.6349806449025,3772.0204192834467
sim_0067,8872776,1,0,0,0.922265625,5738.792082674071,0.0
sim_0068,2913297,0,1,1,1.00078125,5773.263267125893,555.4853155422514
sim_0069,9442989,0,1,0,1.02890625,5837.181904170219,503.89403830135126
sim_0070,5013712,0,0,1,1.17421875,6262.7562384834055,0.0
sim_0071,2552308,1,0,0,1.04765625,6170.723398261756,0.0
sim_0072,6513313,0,1,0,1.00078125,4952.817229286101,7037.921251296009
sim_0073,9948198,0,1,0,1.053515625,6168.452307340617,5488.104059885625
sim_0074,7082067,0,1,0,1.0546875,4367.103324863634,8091.015719227154
sim_0075,6576251,1,1,0,1.05,5871.468270380467,8705.599839917246
sim_0076,7792545,1,1,1,1.17421875,6145.1722310027735,544.1381536974266
sim_0077,3046347,0,0,1,0.903515625,5224.1159581836255,0.0
sim_0078,7867008,0,0,0,1.02421875,5967.979026114187,0.0
sim_0079,6552653,0,0,1,1.08515625,6246.757204557827,0.0
sim_0080,3575130,1,1,0,0.9046875,5488.951826001969,18389.62720677807
sim_0081,8566803,1,1,0,0.97734375,5624.4570333045785,12138.704129670834
sim_0082,9027009,0,0,1,0.99609375,5815.928264476674,0.0
sim_0083,5052762,1,0,1,0.97734375,5570.3555232743865,0.0
sim_0084,8832695,1,0,1,1.147265625,6135.15814520185,0.0
sim_0085,1743974,1,0,1,0.98203125,6016.907592642601,0.0
sim_0086,6976164,1,0,0,1.156640625,6096.669824340845,0.0
sim_0087,3235305,1,0,1,1.0171875,6047.021813412864,0.0
sim_0088,7005149,0,0,0,0.903515625,5412.487194179599,0.0
sim_0089,5590391,1,0,0,0.97265625,5916.641111775861,0.0
sim_0090,3942200,0,1,0,1.1859375,6434.829874824015,4693.618896096222
sim_0091,7695097,0,1,1,1.1953125,5944.267241371881,1091.9863802813377
sim_0092,1178601,1,1,1,0.96796875,5488.011696381475,508.8955313101709
sim_0093,4719939,0,0,1,1.1859375,6440.219918135743,0.0
