system_id,master_seed,anomaly_class,label_has_flares,label_has_transit,star_mass,star_teff,star_logg,flare_amplitude,transit_period,transit_radius_earth
sys_0000,9434169,2,0,1,1.16015625,6200.694883539206,4.121971166322501,0.0,2.139803709344936,2.159201753005643
sys_0001,5382385,0,0,0,0.928125,5179.4618095571,4.452688342405596,0.0,0.0,0.0
sys_0002,7113117,1,1,0,1.0546875,5940.973936894002,4.449619810341603,4865.346607979024,0.0,0.0
sys_0003,9707449,1,1,0,0.94453125,5678.836391803044,4.499021384357357,715.2747433496302,0.0,0.0
sys_0004,4434298,1,1,0,1.1847656249999998,4826.947733875244,4.252157723589774,7939.072139811064,0.0,0.0
sys_0005,8854654,1,1,0,1.166015625,4664.238395333197,4.259861007438814,17536.491767996846,0.0,0.0
sys_0006,2871728,3,1,1,0.9304687500000001,5868.228801519554,4.283172929816414,10457.114458823606,3.1722149520739507,2.3919380267336954
sys_0007,4096177,3,1,1,1.0359375,5678.339416102403,4.487582509444258,1230.9256339293752,14.763524039864823,2.382656126120965
sys_0008,6372544,1,1,0,1.09453125,6202.600055971193,4.427589819249198,1956.730427987094,0.0,0.0
sys_0009,8318028,0,0,0,1.1765625,6255.661283986618,4.259154745724527,0.0,0.0,0.0
sys_0010,2757392,3,1,1,1.003125,5876.6971915259555,4.438910899933008,4140.018715336845,91.43717101521744,1.2941840573258319
sys_0011,2274324,1,1,0,0.94453125,5816.627757236179,4.319957369133984,10294.102070550345,0.0,0.0
sys_0012,2780836,2,0,1,0.922265625,5546.805964987477,4.544706751204535,0.0,8.885496267638025,0.4863473769306517
sys_0013,6960511,3,1,1,1.034765625,5836.800236175291,4.457726324049044,11200.149419547197,21.13494248944597,1.017661125805838
sys_0014,2027483,3,1,1,1.0078125,4291.0860638916065,4.028735565616662,14950.671530743512,8.904043998910499,12.565804906563354
sys_0015,4668855,0,0,0,1.10625,6110.270219741514,4.277187047696107,0.0,0.0,0.0
sys_0016,8820999,3,1,1,1.1859375,6468.287046036274,4.2281680965454855,1048.3053720829066,24.43500127551434,0.8542413922597932
sys_0017,3890326,0,0,0,1.10625,6069.733659410199,4.189690144292338,0.0,0.0,0.0
sys_0018,8347407,1,1,0,1.08046875,5792.9289599579215,4.478199581129363,3540.3507192739194,0.0,0.0
sys_0019,9358435,2,0,1,1.10390625,6220.779936562713,4.398542670404321,0.0,8.187342410236717,2.168700715628764
sys_0020,5644373,0,0,0,1.091015625,5940.1462834543445,4.477935634414819,0.0,0.0,0.0
sys_0021,8551807,0,0,0,1.14375,6336.7404201491945,4.320080439493292,0.0,0.0,0.0
sys_0022,5181693,2,0,1,1.166015625,6036.856205572195,4.069170980222429,0.0,56.44544335070892,0.8799357168701071
sys_0023,6188160,1,1,0,1.1015625,5921.3495236823655,4.3488754596563615,4048.9117351628256,0.0,0.0
sys_0024,3434075,1,1,0,0.95859375,5791.079260575913,4.340496357277921,16754.99724167926,0.0,0.0
sys_0025,4695464,1,1,0,0.9890625,5669.632278879665,4.451927285138003,1078.174899765717,0.0,0.0
sys_0026,1194828,2,0,1,1.08046875,5868.69605497861,4.1986648028989135,0.0,94.7990516030469,2.3257245853347315
sys_0027,4415655,1,1,0,1.17421875,6251.490923786878,4.260800079658105,667.0624270088275,0.0,0.0
sys_0028,8294760,2,0,1,1.17421875,6250.938368749648,4.2602170688628025,0.0,6.170813271667809,0.8958790984901892
sys_0029,4981400,3,1,1,0.9890625,5635.013220983714,4.477992689452017,3963.7790892698154,11.671542328002069,0.8182651451583866
sys_0030,8541274,3,1,1,0.903515625,5294.692016674481,4.537523365921674,627.7331934769458,70.2229101495183,1.488278713475192
sys_0031,7117412,0,0,0,1.044140625,5803.1010166354745,4.463635753534953,0.0,0.0,0.0
