system_id,true_event_class,pred_event_class,flare_prob,transit_prob,master_seed,anomaly_class,label_has_flares,label_has_transit,star_mass,star_teff,star_logg,flare_amplitude,transit_period,transit_radius_earth,drift
sys_1484,neither,neither,0.019385604187846184,0.21622952818870544,4743073,0,0,0,1.18828125,4421.998627619432,3.858408873422484,0.0,0.0,0.0,max
sys_0671,flare,flare,0.9143404960632324,0.31231653690338135,1911684,1,1,0,1.08046875,5329.192195656297,4.358002359212743,633.3885446272872,0.0,0.0,none
sys_0676,transit,neither,0.00043504915083758533,0.24903790652751923,4225073,2,0,1,1.15546875,6234.176709970716,4.376047706575268,0.0,24.39308490867417,1.6391730881613165,none
sys_0223,both,flare,0.9999213218688965,0.34878748655319214,8629967,3,1,1,1.166015625,6163.667340566449,4.384303666728608,3948.050344008616,6.584110847478335,0.9889191451383784,none
sys_0792,flare,flare,0.9856483936309814,0.32514914870262146,5665263,1,1,0,1.10625,6002.652647963925,4.100070891767635,1518.127180065703,0.0,0.0,none
sys_1089,neither,neither,0.0019556491170078516,0.221880704164505,2179532,0,0,0,1.166015625,6180.830359652883,4.275573070037761,0.0,0.0,0.0,max
sys_1250,both,flare,1.0,0.37033265829086304,6343280,3,1,1,0.94921875,5967.48095142944,4.322556982683438,12303.070627236662,17.40875397251817,2.4527278106206363,low
sys_0945,neither,neither,0.0004675307427532971,0.2481190711259842,3721291,0,0,0,1.13671875,6280.674472535585,4.430037148897363,0.0,0.0,0.0,none
sys_0710,neither,neither,0.00042836315697059035,0.24667663872241974,8985494,0,0,0,1.16015625,6243.175983202328,4.418057825165079,0.0,0.0,0.0,none
sys_0469,neither,neither,0.0003120512410532683,0.25316622853279114,8187045,0,0,0,1.18828125,6186.505038872055,4.327212705291414,0.0,0.0,0.0,none
sys_0750,both,flare,0.9999505281448364,0.43757662177085876,4083399,3,1,1,1.17421875,6224.865368577799,4.239009683666473,10915.759560071076,3.607313107693724,1.6233623741506944,none
sys_1022,transit,neither,0.0005766774411313236,0.2634443938732147,1830027,2,0,1,0.90703125,5546.998374022547,4.497192490466718,0.0,6.085813150162488,1.87592890563822,low
