pl_name,hostname,discoverymethod,is_transit,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_eqt,pl_insol,st_teff,st_rad,st_mass,st_met,st_logg,sy_dist,sy_snum,sy_pnum
Kepler-1167 b,Kepler-1167,Transit,1,1.003933739,0.0175,1.71,3.57,3.92,0.0,1419.0,1039.697,4971.0,0.75,0.79,-0.05,4.6,820.905,1,1
Kepler-1740 b,Kepler-1740,Transit,1,8.172400475,0.0779,3.32321414,11.0,1.65,0.0,858.0,127.95,5705.0,0.905,0.943,-0.06,4.499,1061.77,1,1
Kepler-1581 b,Kepler-1581,Transit,1,6.28385491,0.06865,0.8,0.437,4.69,0.0,1108.0,470.862,6022.0,1.23,1.12,0.07,4.31,493.175,1,1
Kepler-644 b,Kepler-644,Transit,1,3.173917103,0.04641,3.15,10.1,1.78,0.0,1655.0,2381.77,6747.0,1.81,1.49,0.08,4.09,1318.05,1,1
Kepler-1752 b,Kepler-1752,Transit,1,56.35850143,0.2698,4.54060463,18.7,1.1,0.0,419.0,7.29,5446.0,0.821,0.824,-0.2,4.525,962.888,1,1
Kepler-280 c,Kepler-280,Transit,1,4.807091,0.056,2.01,4.7,3.18,0.0,1088.0,279.085,5744.0,0.886,0.962,0.1213,4.537,780.361,1,2
Kepler-1208 b,Kepler-1208,Transit,1,11.08507637,0.0901,2.32,5.99,2.64,0.0,665.0,37.664,5001.0,0.76,0.8,-0.03,4.59,825.176,1,1
Kepler-263 c,Kepler-263,Transit,1,47.332773,0.242,2.47,6.66,2.43,0.0,386.0,5.994,5265.0,0.785,0.793,-0.0314,4.576,754.747,1,2
Kepler-1101 b,Kepler-1101,Transit,1,81.3151059,0.3483,2.47,6.66,2.43,0.0,393.0,3.577,5614.0,0.91,0.94,-0.04,4.5,742.473,1,1
HD 168746 b,HD 168746,Radial Velocity,0,6.404,0.07,11.1,85.8141,0.345,0.11,900.0,,5570.0,1.09,1.07,-0.08,4.39,41.5681,1,1
K2-19 b,K2-19,Transit,1,7.9222,0.074,7.0,32.4,0.52,0.2,779.0,87.0,5322.0,0.82,0.88,0.06,4.51,289.827,1,3
Kepler-560 b,Kepler-560,Transit,1,18.47764449,0.0899,1.72,3.61,3.9,0.17,298.0,2.46,3556.0,0.33,0.34,-0.39,4.94,109.308,2,1
Kepler-150 d,Kepler-150,Transit,1,12.56093,0.104,2.79,8.2,2.07,0.0,734.0,65.142,5560.0,0.939,0.956,0.12,4.466,891.092,1,5
Kepler-498 b,Kepler-498,Transit,1,9.61375356,0.0897,3.03,9.43,1.86,0.0,931.0,202.775,5744.0,0.96,0.98,-0.04,4.47,938.844,1,1
Kepler-817 b,Kepler-817,Transit,1,3.990106229,0.0493,9.03,60.2,0.449,0.0,1124.0,550.203,5861.0,1.03,1.03,0.02,4.42,1484.46,1,1
Kepler-937 b,Kepler-937,Transit,1,67.668827,0.3214,3.72,13.4,1.43,0.0,495.0,20.627,6095.0,1.22,1.15,0.08,4.32,1571.46,1,2
K2-10 b,K2-10,Transit,1,19.30553,0.137,3.773,25.2,2.36,0.31,649.0,42.1,5533.0,0.956,0.88,-0.07,4.47,272.36,1,1
Kepler-571 b,Kepler-571,Transit,1,4.798599388,0.0546,2.64,7.46,2.23,0.0,978.0,219.036,5527.0,0.9,0.93,0.01,4.51,723.875,1,1
Kepler-1458 b,Kepler-1458,Transit,1,47.9872764,0.24869,2.76,8.05,2.1,0.0,493.0,8.293,5653.0,0.94,0.96,0.02,4.48,544.45,1,1
K2-335 b,K2-335,Transit,1,12.283211,,2.21,5.52,2.81,,949.0,,6222.0,1.33,1.23,0.1,4.28,557.993,1,1
Kepler-1600 c,Kepler-1600,Transit,1,7.298049927,0.06961,1.94206512,4.43,3.32,0.0,786.0,84.7,5119.0,0.834,0.818,0.1,4.508,1030.81,1,2
Kepler-221 d,Kepler-221,Transit,1,10.04156,0.087,2.73,3.61,0.9,0.0,712.0,56.293,5243.0,0.821,0.854,0.0616,4.543,385.231,1,4
Kepler-626 b,Kepler-626,Transit,1,14.48585199,0.10913,2.29,5.86,2.68,0.0,784.0,69.795,5813.0,1.05,1.01,0.01,4.4,635.643,1,1
Kepler-1549 b,Kepler-1549,Transit,1,214.886545,0.6687,2.57,7.13,2.31,0.0,286.0,1.184,5324.0,0.84,0.88,0.02,4.54,803.052,1,1
K2-62 c,K2-62,Transit,1,16.19697,0.1148,1.99,4.62,3.22,,495.0,14.3,4455.0,0.696,0.67,-0.1,4.57,112.467,1,2
Kepler-1149 b,Kepler-1149,Transit,1,3.73089898,0.0473,1.44,2.67,4.91,0.0,1128.0,653.831,5833.0,1.01,1.02,0.02,4.43,1217.73,1,1
Kepler-1288 b,Kepler-1288,Transit,1,2.76122421,0.04135,1.12,1.46,5.71,0.0,2017.0,1342.5,6132.0,1.29,1.2,0.14,4.29,814.078,1,1
Kepler-128 b,Kepler-128,Transit,1,15.0,0.12545,1.421,3.79,7.222837,0.0,968.0,227.398,6072.0,1.659,1.184,-0.03,4.07,396.379,1,2
Kepler-1245 b,Kepler-1245,Transit,1,4.35409304,0.0484,1.44,2.67,4.91,0.0,1043.0,194.344,5306.0,0.83,0.86,-0.01,4.55,805.936,1,2
Kepler-1068 b,Kepler-1068,Transit,1,16.92344113,0.13038,3.63,12.8,1.47,0.0,702.0,55.933,5806.0,1.01,1.01,0.03,4.43,1473.61,1,1
Kepler-311 c,Kepler-311,Transit,1,19.738286,0.145,1.43,2.63,4.94,0.0,744.0,72.456,5905.0,1.188,0.994,-0.03,4.308,778.654,1,3
Kepler-150 e,Kepler-150,Transit,1,30.826557,0.189,3.12,9.91,1.79,0.0,544.0,19.671,5560.0,0.939,0.956,0.12,4.466,891.092,1,5
Kepler-272 c,Kepler-272,Transit,1,6.057342,0.061,1.79,97.8,93.7,0.0,947.0,310.76,5297.0,0.929,0.91,0.04,4.426,889.608,1,3
Kepler-152 c,Kepler-152,Transit,1,88.255055,0.356,2.39,6.3,2.54,0.0,326.0,2.57,5088.0,0.724,0.779,-0.12,4.605,441.09,1,2
Kepler-1506 b,Kepler-1506,Transit,1,14.0329154,0.1168,1.32,2.3,5.5,0.0,783.0,235.807,5676.0,0.93,0.95,-0.05,4.49,2366.02,1,1
